weight,y,sigma_y,Temperature,sigma_T,Observed_field,IceMu,EAnxt,ymin,ymax,xmin,xmax,ticks
0.00000000,0.03091788,0.00092754,20.00000000,0.10000000,161800000.00000000,0.577,5.49E9,0.00000000,0.015,54.00000000,81.00000000,0.00000000
0.00000000,0.03050503,0.00091515,25.00000000,0.10000000,159600000.00000000,,,0.00000000,0.015,54.00000000,81.00000000,0.004
0.00000000,0.02946526,0.00088396,30.00000000,0.10000000,154200000.00000000,,,,,,,0.008
0.00000000,0.03045916,0.00091377,35.00000000,0.10000000,159400000.00000000,,,,,,,0.012
0.00000000,0.02896831,0.00086905,40.00000000,0.10000000,151600000.00000000,,,,,,,
0.00000000,0.02956083,0.00088682,45.00000000,0.10000000,154700000.00000000,,,,,,,
0.00000000,0.02828023,0.00084841,50.00000000,0.10000000,147900000.00000000,,,,,,,
0.50000000,0.00919000,0.00011190,55.00000000,0.10000000,50490000.00000000,,,,,,,
1.00000000,0.00800780,0.00011190,60.00000000,0.10000000,43990000.00000000,,,,,,,
1.00000000,0.00787364,0.00011212,65.00000000,0.10000000,43260000.00000000,,,,,,,
1.00000000,0.00774440,0.00013570,70.00000000,0.10000000,42550000.00000000,,,,,,,
1.00000000,0.00692678,0.00020330,72.50000000,0.10000000,38058000.00000000,,,,,,,
1.00000000,0.00692638,0.00020330,75.00000000,0.10000000,38056000.00000000,,,,,,,
1.00000000,0.00549543,0.00038880,77.50000000,0.10000000,30189000.00000000,,,,,,,
1.00000000,0.00470671,0.00049290,80.00000000,0.10000000,25860000.00000000,,,,,,,
