weight,y,sigma_y,Temperature,sigma_T,Observed_field
1.000000000,0.015231676,0.004000000,55.000000000,0.100000000,19569000.000000000
1.000000000,0.012198113,0.004000000,57.000000000,0.100000000,15672000.000000000
1.000000000,0.008909093,0.000800000,60.000000000,0.100000000,11446000.000000000
1.000000000,0.007216685,0.000800000,63.000000000,0.100000000,9271800.000000000
1.000000000,0.005620073,0.000080000,65.000000000,0.100000000,7220500.000000000
1.000000000,0.002946068,0.000080000,70.000000000,0.100000000,3785000.000000000
1.000000000,0.002456834,0.000080000,75.000000000,0.100000000,3156500.000000000
1.000000000,0.002664502,0.000080000,77.500000000,0.100000000,3423300.000000000
1.000000000,0.005396548,0.000080000,80.000000000,0.100000000,6933300.000000000
0.453500000,0.010409908,0.000800000,83.000000000,0.100000000,13374000.000000000
0.000000000,0.018392967,0.000800000,85.000000000,0.100000000,23631000.000000000
0.000000000,0.024939075,0.000800000,86.500000000,0.100000000,32041000.000000000
0.000000000,0.026759212,0.004000000,88.000000000,0.100000000,34379000.000000000
0.000000000,0.032187692,0.004000000,89.000000000,0.100000000,41354000.000000000
